"strain","gene_id","go_level","go_description","go_id"
"Synechocystis","slr1908","Biological Process","transport","GO:0006810"
"Synechocystis","slr1908","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr1908","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","slr1909","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr1909","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","slr1909","Cellular Component","intracellular","GO:0005622"
"Synechocystis","slr1909","Molecular Function","sequence-specific DNA binding","GO:0043565"
"Synechocystis","slr1909","Molecular Function","transcription factor activity","GO:0003700"
"Synechocystis","slr1909","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","slr1910","Biological Process","peptidoglycan catabolic process","GO:0009253"
"Synechocystis","slr1910","Molecular Function","N-acetylmuramoyl-L-alanine amidase activity","GO:0008745"
"Synechocystis","slr1912","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr1912","Molecular Function","antisigma factor binding","GO:0045152"
"Synechocystis","slr1916","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1917","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1919","Biological Process","protein amino acid phosphorylation","GO:0006468"
"Synechocystis","slr1919","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr1919","Molecular Function","protein kinase activity","GO:0004672"
"Synechocystis","slr1925","Biological Process","cobalamin biosynthetic process","GO:0009236"
"Synechocystis","slr1925","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr1933","Biological Process","lipopolysaccharide biosynthetic process","GO:0009103"
"Synechocystis","slr1933","Molecular Function","dTDP-4-dehydrorhamnose 3,5-epimerase activity","GO:0008830"
"Synechocystis","slr1934","Biological Process","glycolysis","GO:0006096"
"Synechocystis","slr1934","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr1934","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr1934","Cellular Component","intracellular membrane-bounded organelle","GO:0043231"
"Synechocystis","slr1934","Molecular Function","oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","GO:0016624"
"Synechocystis","slr1934","Molecular Function","pyruvate dehydrogenase (acetyl-transferring) activity","GO:0004739"
"Synechocystis","slr1935","Biological Process","transmembrane transport","GO:0055085"
"Synechocystis","slr1938","Biological Process","cellular biosynthetic process","GO:0044249"
"Synechocystis","slr1938","Biological Process","cellular metabolic process","GO:0044237"
"Synechocystis","slr1939","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr1939","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr1939","Molecular Function","metalloendopeptidase activity","GO:0004222"
"Synechocystis","slr1942","Biological Process","regulation of circadian rhythm","GO:0042752"
"Synechocystis","slr1942","Biological Process","regulation of transcription","GO:0045449"
"Synechocystis","slr1942","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr1942","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr1942","Molecular Function","magnesium ion binding","GO:0000287"
"Synechocystis","slr1942","Molecular Function","protein serine/threonine kinase activity","GO:0004674"
"Synechocystis","slr1945","Biological Process","glucose catabolic process","GO:0006007"
"Synechocystis","slr1945","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr1945","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","slr1945","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1945","Molecular Function","manganese ion binding","GO:0030145"
"Synechocystis","slr1945","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","slr1945","Molecular Function","phosphoglycerate mutase activity","GO:0004619"
"Synechocystis","slr1946","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr1946","Cellular Component","extracellular matrix","GO:0031012"
"Synechocystis","slr1946","Molecular Function","metalloendopeptidase activity","GO:0004222"
"Synechocystis","slr1946","Molecular Function","metallopeptidase activity","GO:0008237"
"Synechocystis","slr1946","Molecular Function","zinc ion binding","GO:0008270"
"Synechocystis","slr1950","Biological Process","ATP biosynthetic process","GO:0006754"
"Synechocystis","slr1950","Biological Process","cation transport","GO:0006812"
"Synechocystis","slr1950","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr1950","Biological Process","metal ion transport","GO:0030001"
"Synechocystis","slr1950","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr1950","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr1950","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr1950","Molecular Function","ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism","GO:0015662"
"Synechocystis","slr1950","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1950","Molecular Function","cation channel activity","GO:0005261"
"Synechocystis","slr1950","Molecular Function","copper-exporting ATPase activity","GO:0004008"
"Synechocystis","slr1950","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","slr1950","Molecular Function","hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances","GO:0016820"
"Synechocystis","slr1950","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","slr1950","Molecular Function","metal ion transmembrane transporter activity","GO:0046873"
"Synechocystis","slr1956","Molecular Function","binding","GO:0005488"
"Synechocystis","slr1959","Cellular Component","intracellular","GO:0005622"
"Synechocystis","slr1959","Molecular Function","exonuclease activity","GO:0004527"
"Synechocystis","slr1959","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","slr1962","Biological Process","transport","GO:0006810"
"Synechocystis","slr1962","Cellular Component","outer membrane-bounded periplasmic space","GO:0030288"
"Synechocystis","slr1963","Biological Process","absorption of light","GO:0016037"
"Synechocystis","slr1963","Biological Process","transport","GO:0006810"
"Synechocystis","slr1963","Cellular Component","intracellular","GO:0005622"
"Synechocystis","slr1963","Cellular Component","phycobilisome","GO:0030089"
"Synechocystis","slr1963","Molecular Function","chloride ion binding","GO:0031404"
"Synechocystis","slr1968","Molecular Function","binding","GO:0005488"
"Synechocystis","slr1969","Biological Process","peptidyl-histidine phosphorylation","GO:0018106"
"Synechocystis","slr1969","Biological Process","phosphorylation","GO:0016310"
"Synechocystis","slr1969","Biological Process","protein-chromophore linkage","GO:0018298"
"Synechocystis","slr1969","Biological Process","regulation of transcription","GO:0045449"
"Synechocystis","slr1969","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr1969","Biological Process","sensory perception","GO:0007600"
"Synechocystis","slr1969","Biological Process","signal transduction","GO:0007165"
"Synechocystis","slr1969","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","slr1969","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr1969","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr1969","Molecular Function","G-protein coupled photoreceptor activity","GO:0008020"
"Synechocystis","slr1969","Molecular Function","protein histidine kinase activity","GO:0004673"
"Synechocystis","slr1969","Molecular Function","transferase activity, transferring phosphorus-containing groups","GO:0016772"
"Synechocystis","slr1969","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","slr1969","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","slr1971","Biological Process","proteolysis","GO:0006508"
"Synechocystis","slr1971","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr1971","Molecular Function","metalloendopeptidase activity","GO:0004222"
"Synechocystis","slr1974","Cellular Component","intracellular","GO:0005622"
"Synechocystis","slr1974","Molecular Function","GTP binding","GO:0005525"
"Synechocystis","slr1974","Molecular Function","nucleoside-triphosphatase activity","GO:0017111"
"Synechocystis","slr1974","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","slr1975","Biological Process","mannose metabolic process","GO:0006013"
"Synechocystis","slr1975","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1975","Molecular Function","mannose-6-phosphate isomerase activity","GO:0004476"
"Synechocystis","slr1977","Biological Process","nucleoside metabolic process","GO:0009116"
"Synechocystis","slr1977","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1978","Biological Process","cobalamin biosynthetic process","GO:0009236"
"Synechocystis","slr1978","Biological Process","cobalt ion transport","GO:0006824"
"Synechocystis","slr1978","Molecular Function","cobalt ion transmembrane transporter activity","GO:0015087"
"Synechocystis","slr1982","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr1982","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","slr1982","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","slr1983","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","slr1983","Biological Process","signal transduction","GO:0007165"
"Synechocystis","slr1983","Biological Process","two-component signal transduction system (phosphorelay)","GO:0000160"
"Synechocystis","slr1983","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr1983","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1983","Molecular Function","phosphoprotein phosphatase activity","GO:0004721"
"Synechocystis","slr1983","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","slr1983","Molecular Function","two-component response regulator activity","GO:0000156"
"Synechocystis","slr1983","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","slr1984","Biological Process","translation","GO:0006412"
"Synechocystis","slr1984","Cellular Component","ribosome","GO:0005840"
"Synechocystis","slr1984","Molecular Function","RNA binding","GO:0003723"
"Synechocystis","slr1984","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","slr1736","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr1736","Molecular Function","prenyltransferase activity","GO:0004659"
"Synechocystis","slr1779","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr1779","Biological Process","pyridoxine biosynthetic process","GO:0008615"
"Synechocystis","slr1779","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","slr1779","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1787","Biological Process","thiamin biosynthetic process","GO:0009228"
"Synechocystis","slr1787","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1787","Molecular Function","thiamin phosphate kinase activity","GO:0009030"
"Synechocystis","slr1793","Biological Process","carbohydrate metabolic process","GO:0005975"
"Synechocystis","slr1793","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr1793","Biological Process","pentose-phosphate shunt","GO:0006098"
"Synechocystis","slr1793","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","slr1793","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1793","Molecular Function","transaldolase activity","GO:0004801"
"Synechocystis","slr1805","Biological Process","peptidyl-histidine phosphorylation","GO:0018106"
"Synechocystis","slr1805","Biological Process","phosphorylation","GO:0016310"
"Synechocystis","slr1805","Biological Process","protein-chromophore linkage","GO:0018298"
"Synechocystis","slr1805","Biological Process","regulation of transcription","GO:0045449"
"Synechocystis","slr1805","Biological Process","sensory perception","GO:0007600"
"Synechocystis","slr1805","Biological Process","signal transduction","GO:0007165"
"Synechocystis","slr1805","Cellular Component","membrane","GO:0016020"
"Synechocystis","slr1805","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr1805","Molecular Function","G-protein coupled photoreceptor activity","GO:0008020"
"Synechocystis","slr1805","Molecular Function","protein histidine kinase activity","GO:0004673"
"Synechocystis","slr1805","Molecular Function","signal transducer activity","GO:0004871"
"Synechocystis","slr1805","Molecular Function","transferase activity, transferring phosphorus-containing groups","GO:0016772"
"Synechocystis","slr1805","Molecular Function","two-component sensor activity","GO:0000155"
"Synechocystis","slr1808","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr1808","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","slr1808","Biological Process","tetrapyrrole biosynthetic process","GO:0033014"
"Synechocystis","slr1808","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","slr1808","Molecular Function","NADP or NADPH binding","GO:0050661"
"Synechocystis","slr1808","Molecular Function","binding","GO:0005488"
"Synechocystis","slr1808","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1808","Molecular Function","glutamyl-tRNA reductase activity","GO:0008883"
"Synechocystis","slr1808","Molecular Function","shikimate 5-dehydrogenase activity","GO:0004764"
"Synechocystis","slr1834","Biological Process","photosynthesis","GO:0015979"
"Synechocystis","slr1834","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","slr1834","Cellular Component","photosystem I","GO:0009522"
"Synechocystis","slr1834","Cellular Component","thylakoid","GO:0009579"
"Synechocystis","slr1834","Molecular Function","metal ion binding","GO:0046872"
"Synechocystis","slr1966","Biological Process","cell wall macromolecule catabolic process","GO:0016998"
"Synechocystis","slr1966","Biological Process","peptidoglycan catabolic process","GO:0009253"
"Synechocystis","slr1966","Molecular Function","lysozyme activity","GO:0003796"
"Synechocystis","slr1979","Biological Process","biosynthetic process","GO:0009058"
"Synechocystis","slr1979","Molecular Function","oxo-acid-lyase activity","GO:0016833"
"Synechocystis","slr1882","Biological Process","riboflavin biosynthetic process","GO:0009231"
"Synechocystis","slr1882","Molecular Function","FMN adenylyltransferase activity","GO:0003919"
"Synechocystis","slr1882","Molecular Function","riboflavin kinase activity","GO:0008531"
"Synechocystis","slr1756","Biological Process","glutamine biosynthetic process","GO:0006542"
"Synechocystis","slr1756","Biological Process","nitrogen compound metabolic process","GO:0006807"
"Synechocystis","slr1756","Biological Process","nitrogen fixation","GO:0009399"
"Synechocystis","slr1756","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","slr1756","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1756","Molecular Function","glutamate-ammonia ligase activity","GO:0004356"
"Synechocystis","slr1762","Biological Process","metabolic process","GO:0008152"
"Synechocystis","slr1762","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr1762","Molecular Function","hydrolase activity","GO:0016787"
"Synechocystis","slr1899","Biological Process","nitrogen compound metabolic process","GO:0006807"
"Synechocystis","slr1899","Molecular Function","nickel ion binding","GO:0016151"
"Synechocystis","ssl1426","Biological Process","translation","GO:0006412"
"Synechocystis","ssl1426","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssl1426","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssl1426","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssl1690","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","ssl1690","Cellular Component","plasma membrane","GO:0005886"
"Synechocystis","ssl1690","Molecular Function","oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor","GO:0016655"
"Synechocystis","ssl1707","Biological Process","tRNA processing","GO:0008033"
"Synechocystis","ssl1707","Cellular Component","cytoplasm","GO:0005737"
"Synechocystis","ssl1707","Molecular Function","protein binding","GO:0005515"
"Synechocystis","ssl1707","Molecular Function","sulfurtransferase activity","GO:0016783"
"Synechocystis","ssl1784","Biological Process","translation","GO:0006412"
"Synechocystis","ssl1784","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssl1784","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssl1784","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssl2084","Biological Process","fatty acid biosynthetic process","GO:0006633"
"Synechocystis","ssl2084","Molecular Function","acyl carrier activity","GO:0000036"
"Synechocystis","ssl2084","Molecular Function","cofactor binding","GO:0048037"
"Synechocystis","ssl2084","Molecular Function","phosphopantetheine binding","GO:0031177"
"Synechocystis","ssl2153","Biological Process","carbohydrate metabolic process","GO:0005975"
"Synechocystis","ssl2233","Biological Process","translation","GO:0006412"
"Synechocystis","ssl2233","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssl2233","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssl2233","Molecular Function","RNA binding","GO:0003723"
"Synechocystis","ssl2233","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssl2296","Biological Process","tetrahydrobiopterin biosynthetic process","GO:0006729"
"Synechocystis","ssl2296","Molecular Function","4-alpha-hydroxytetrahydrobiopterin dehydratase activity","GO:0008124"
"Synechocystis","ssl2559","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","ssl2559","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","ssl2598","Biological Process","protein stabilization","GO:0050821"
"Synechocystis","ssl2598","Cellular Component","membrane","GO:0016020"
"Synechocystis","ssl2598","Cellular Component","photosystem II","GO:0009523"
"Synechocystis","ssl2598","Molecular Function","phosphate binding","GO:0042301"
"Synechocystis","ssl2615","Biological Process","ATP synthesis coupled proton transport","GO:0015986"
"Synechocystis","ssl2615","Cellular Component","proton-transporting ATP synthase complex, coupling factor F(o)","GO:0045263"
"Synechocystis","ssl2615","Cellular Component","proton-transporting two-sector ATPase complex, proton-transporting domain","GO:0033177"
"Synechocystis","ssl2615","Molecular Function","hydrogen ion transmembrane transporter activity","GO:0015078"
"Synechocystis","ssl2667","Biological Process","iron-sulfur cluster assembly","GO:0016226"
"Synechocystis","ssl2667","Molecular Function","iron ion binding","GO:0005506"
"Synechocystis","ssl2667","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","ssl2749","Molecular Function","nucleotidyltransferase activity","GO:0016779"
"Synechocystis","ssl2789","Biological Process","DNA recombination","GO:0006310"
"Synechocystis","ssl2789","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","ssl2789","Molecular Function","recombinase activity","GO:0000150"
"Synechocystis","ssl2823","Biological Process","protein secretion","GO:0009306"
"Synechocystis","ssl2823","Biological Process","protein transport","GO:0015031"
"Synechocystis","ssl2823","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","ssl2823","Cellular Component","membrane","GO:0016020"
"Synechocystis","ssl2823","Cellular Component","plasma membrane","GO:0005886"
"Synechocystis","ssl2823","Molecular Function","protein transporter activity","GO:0008565"
"Synechocystis","ssl2982","Biological Process","transcription, DNA-dependent","GO:0006351"
"Synechocystis","ssl2982","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","ssl2982","Molecular Function","DNA-directed RNA polymerase activity","GO:0003899"
"Synechocystis","ssl3044","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","ssl3044","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","ssl3093","Cellular Component","phycobilisome","GO:0030089"
"Synechocystis","ssl3127","Biological Process","transport","GO:0006810"
"Synechocystis","ssl3127","Cellular Component","membrane","GO:0016020"
"Synechocystis","ssl3127","Molecular Function","transporter activity","GO:0005215"
"Synechocystis","ssl3177","Biological Process","cell wall macromolecule catabolic process","GO:0016998"
"Synechocystis","ssl3177","Biological Process","chitin catabolic process","GO:0006032"
"Synechocystis","ssl3177","Biological Process","defense response to bacterium","GO:0042742"
"Synechocystis","ssl3177","Biological Process","defense response to fungus","GO:0050832"
"Synechocystis","ssl3177","Molecular Function","chitinase activity","GO:0004568"
"Synechocystis","ssl3335","Biological Process","intracellular protein transport","GO:0006886"
"Synechocystis","ssl3335","Biological Process","protein secretion","GO:0009306"
"Synechocystis","ssl3335","Biological Process","protein targeting","GO:0006605"
"Synechocystis","ssl3335","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","ssl3335","Cellular Component","membrane","GO:0016020"
"Synechocystis","ssl3335","Molecular Function","P-P-bond-hydrolysis-driven protein transmembrane transporter activity","GO:0015450"
"Synechocystis","ssl3379","Biological Process","protein catabolic process","GO:0030163"
"Synechocystis","ssl3432","Biological Process","translation","GO:0006412"
"Synechocystis","ssl3432","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssl3432","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssl3432","Cellular Component","small ribosomal subunit","GO:0015935"
"Synechocystis","ssl3432","Molecular Function","RNA binding","GO:0003723"
"Synechocystis","ssl3432","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssl3436","Biological Process","translation","GO:0006412"
"Synechocystis","ssl3436","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssl3436","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssl3436","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssl3437","Biological Process","translation","GO:0006412"
"Synechocystis","ssl3437","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssl3437","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssl3437","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssl3445","Biological Process","translation","GO:0006412"
"Synechocystis","ssl3445","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssl3445","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssl3445","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssr0102","Biological Process","sulfur metabolic process","GO:0006790"
"Synechocystis","ssr0330","Biological Process","photosynthesis","GO:0015979"
"Synechocystis","ssr0330","Cellular Component","plastid","GO:0009536"
"Synechocystis","ssr0330","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","ssr0330","Molecular Function","ferredoxin reductase activity","GO:0008937"
"Synechocystis","ssr0390","Biological Process","photosynthesis","GO:0015979"
"Synechocystis","ssr0390","Cellular Component","membrane","GO:0016020"
"Synechocystis","ssr0390","Cellular Component","photosystem I","GO:0009522"
"Synechocystis","ssr0482","Biological Process","translation","GO:0006412"
"Synechocystis","ssr0482","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssr0482","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssr0482","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssr1041","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","ssr1041","Molecular Function","iron-sulfur cluster binding","GO:0051536"
"Synechocystis","ssr1169","Cellular Component","integral to membrane","GO:0016021"
"Synechocystis","ssr1386","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","ssr1386","Molecular Function","oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor","GO:0016655"
"Synechocystis","ssr1398","Biological Process","translation","GO:0006412"
"Synechocystis","ssr1398","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssr1398","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssr1398","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssr1399","Biological Process","translation","GO:0006412"
"Synechocystis","ssr1399","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssr1399","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssr1399","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssr1480","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","ssr1480","Molecular Function","nucleotide binding","GO:0000166"
"Synechocystis","ssr1513","Biological Process","methionine biosynthetic process","GO:0009086"
"Synechocystis","ssr1513","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssr1513","Molecular Function","methionine synthase activity","GO:0008705"
"Synechocystis","ssr1527","Biological Process","Mo-molybdopterin cofactor biosynthetic process","GO:0006777"
"Synechocystis","ssr1527","Biological Process","sulfur metabolic process","GO:0006790"
"Synechocystis","ssr1558","Cellular Component","membrane","GO:0016020"
"Synechocystis","ssr1604","Biological Process","translation","GO:0006412"
"Synechocystis","ssr1604","Cellular Component","intracellular","GO:0005622"
"Synechocystis","ssr1604","Cellular Component","ribosome","GO:0005840"
"Synechocystis","ssr1604","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssr1720","Molecular Function","RNA binding","GO:0003723"
"Synechocystis","ssr1736","Biological Process","translation","GO:0006412"
"Synechocystis","ssr1736","Cellular Component","large ribosomal subunit","GO:0015934"
"Synechocystis","ssr1736","Molecular Function","structural constituent of ribosome","GO:0003735"
"Synechocystis","ssr2049","Biological Process","chlorophyll biosynthetic process","GO:0015995"
"Synechocystis","ssr2049","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","ssr2049","Biological Process","photosynthesis","GO:0015979"
"Synechocystis","ssr2049","Molecular Function","oxidoreductase activity","GO:0016491"
"Synechocystis","ssr2061","Biological Process","cell redox homeostasis","GO:0045454"
"Synechocystis","ssr2061","Molecular Function","electron carrier activity","GO:0009055"
"Synechocystis","ssr2061","Molecular Function","protein disulfide oxidoreductase activity","GO:0015035"
"Synechocystis","ssr2142","Cellular Component","membrane","GO:0016020"
"Synechocystis","ssr2333","Molecular Function","iron ion binding","GO:0005506"
"Synechocystis","ssl1577","Molecular Function","endonuclease activity","GO:0004519"
"Synechocystis","ssl1577","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","ssl3389","Cellular Component","intracellular membrane-bounded organelle","GO:0043231"
"Synechocystis","ssl3389","Molecular Function","2 iron, 2 sulfur cluster binding","GO:0051537"
"Synechocystis","ssl3441","Biological Process","translational initiation","GO:0006413"
"Synechocystis","ssl3441","Molecular Function","RNA binding","GO:0003723"
"Synechocystis","ssl3441","Molecular Function","translation initiation factor activity","GO:0003743"
"Synechocystis","ssr1600","Biological Process","regulation of transcription, DNA-dependent","GO:0006355"
"Synechocystis","ssr1600","Molecular Function","antisigma factor binding","GO:0045152"
"Synechocystis","ssl3649","Biological Process","transposition, DNA-mediated","GO:0006313"
"Synechocystis","ssl3649","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","ssl3649","Molecular Function","transposase activity","GO:0004803"
"Synechocystis","sll7006","Biological Process","regulation of transcription","GO:0045449"
"Synechocystis","sll7029","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","sll7030","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll7030","Molecular Function","N-acetyltransferase activity","GO:0008080"
"Synechocystis","sll7077","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","sll7106","Biological Process","DNA repair","GO:0006281"
"Synechocystis","sll7106","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll8006","Biological Process","DNA modification","GO:0006304"
"Synechocystis","sll8006","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll8009","Biological Process","DNA methylation","GO:0006306"
"Synechocystis","sll8009","Biological Process","methylation","GO:0032259"
"Synechocystis","sll8009","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","sll8009","Molecular Function","N-methyltransferase activity","GO:0008170"
"Synechocystis","sll8009","Molecular Function","methyltransferase activity","GO:0008168"
"Synechocystis","sll8009","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","sll8031","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll8031","Molecular Function","4 iron, 4 sulfur cluster binding","GO:0051539"
"Synechocystis","sll8031","Molecular Function","NADH dehydrogenase (ubiquinone) activity","GO:0008137"
"Synechocystis","sll8031","Molecular Function","oxidoreductase activity, acting on NADH or NADPH","GO:0016651"
"Synechocystis","sll8031","Molecular Function","quinone binding","GO:0048038"
"Synechocystis","sll8034","Biological Process","metabolic process","GO:0008152"
"Synechocystis","sll8034","Biological Process","oxidation reduction","GO:0055114"
"Synechocystis","sll8034","Molecular Function","2-nitropropane dioxygenase activity","GO:0018580"
"Synechocystis","sll8034","Molecular Function","catalytic activity","GO:0003824"
"Synechocystis","slr7005","Biological Process","DNA integration","GO:0015074"
"Synechocystis","slr7005","Biological Process","DNA recombination","GO:0006310"
"Synechocystis","slr7005","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr7008","Biological Process","transposition, DNA-mediated","GO:0006313"
"Synechocystis","slr7008","Molecular Function","DNA binding","GO:0003677"
"Synechocystis","slr7008","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","slr7008","Molecular Function","transposase activity","GO:0004803"
"Synechocystis","slr7010","Molecular Function","ATP binding","GO:0005524"
"Synechocystis","slr7010","Molecular Function","ATP-dependent helicase activity","GO:0008026"
"Synechocystis","slr7010","Molecular Function","helicase activity","GO:0004386"
"Synechocystis","slr7010","Molecular Function","nucleic acid binding","GO:0003676"
"Synechocystis","slr7023","Molecular Function","binding","GO:0005488"
